freq,power,high,low
-7.578291,-1.581408,0.2923338,6.076897
-10.82607,-6.016913,-5.574573,3.621095
-9.392572,-7.403658,-7.104751,2.000798
-11.70677,-5.833635,-7.609072,1.740862
-5.895133,-3.133295,-4.433955,6.089245
-9.147776,-3.459515,-4.544759,4.20825
-11.00535,-6.405797,-8.325063,0.5463594
-10.75438,-3.577515,-2.504433,5.397832
-10.88189,-6.843158,-6.379704,2.878863
-10.21817,-3.966613,-1.940042,3.917823
-5.210176,-3.730198,-5.276266,1.601856
-7.541996,-4.045618,-5.369456,0.7006207
-9.654526,-5.404871,-6.525118,2.494419
-2.560841,-3.349905,4.924428,-0.6987169
-5.19904,-2.756341,0.1271162,2.150952
-2.963642,-1.576681,2.493305,2.043806
0.671408,-2.247135,5.926343,-1.275271
-1.745435,-1.159772,3.999787,-0.7123694
-1.77022,-1.791749,3.707692,-1.396884
-4.475678,-2.602295,0.4667268,2.835736
-3.947609,-1.684732,2.138726,2.104522
-1.507143,-1.982798,4.161109,-1.245214
-0.2577073,-1.388113,5.184785,-0.8033496
-0.899334,-1.720817,6.474488,-0.7905991
-5.321128,-1.626118,1.101954,-1.220711
-3.583246,-1.332825,2.784711,-1.891502
-1.701672,-2.340485,6.41602,-0.9871169
-6.231365,-0.1401441,-1.860774,1.036858
-6.744796,-1.492695,-2.096159,4.352739
-5.797239,-3.238936,1.767786,0.7864215
-5.570884,-3.734224,-4.01529,1.141343
-6.77635,-3.957281,-2.365538,1.651927
-7.154386,-1.901202,0.8727309,3.244442
-1.461169,-1.639317,5.510565,-0.6983629
-4.691279,-1.053873,3.304979,-1.875837
-3.498663,-2.574519,4.706455,-0.8179258
-3.434766,-1.657643,2.323481,-2.530796
-7.59916,-4.030044,-2.368971,1.420128
-7.680196,-0.5544415,-0.5119193,2.379424
-2.850441,-1.956269,4.506202,-1.724136
-3.112917,-0.508198,2.430795,-0.8386991
-6.786288,0.639411,-0.5479405,2.071347
-7.60524,-2.988962,-1.405912,2.696218
-10.17496,-4.247376,-2.169665,3.822356
-9.257272,-5.72327,-6.528944,1.087105
-9.861208,-3.019568,-2.289995,3.831402
-7.490728,-3.187498,-1.777995,1.776176
-6.688559,-3.680487,-3.042668,2.304774
-4.476301,-2.939889,0.9314764,1.782475
-5.518298,-3.129841,-0.4258589,2.277092
-8.976301,-3.008377,-3.435325,4.530547
0.6136175,-2.840251,5.542418,-0.7813984
0.004880975,0.07031267,4.32926,1.952785
-3.180041,-2.24432,2.938271,1.813409
-5.716183,-3.660089,-0.8597732,1.837531
-3.659956,-3.05576,1.199755,1.312078
-8.362754,-3.272052,-2.265818,0.783049
-9.987674,-3.647225,-2.279129,3.473955
-10.98622,-5.54332,-5.866996,2.006815
-9.880956,-4.296109,-1.618741,3.346182
-7.883949,-4.15882,-2.499616,-0.9201855
-5.216051,-1.767867,0.6557893,0.2666488
-7.448767,-2.802802,0.2327356,-1.23102
-5.631319,-3.001507,0.5115412,-1.407265
-1.007476,-2.566073,6.019362,-1.513585
-0.4522893,-3.013673,5.502036,-1.928077
-4.348057,-1.287736,1.522599,-0.3036964
-9.165895,-2.154995,-1.681858,3.491442
-5.151769,-0.6213894,-0.8214082,1.277006
-3.822516,-3.310583,2.870931,-0.5372652
-6.126811,-3.638026,0.8812844,0.3585831
-3.357556,0.401523,3.542058,2.640813
-0.09924598,-1.231394,3.887986,-0.9997163
-3.010985,-0.4337846,3.118234,2.078434
-4.602283,-0.8052174,1.310309,-0.3400471
-3.421123,-1.214594,1.771097,-0.1105758
-2.548685,-2.439672,3.150605,-1.671952
-2.388701,-1.325009,2.869714,-1.529593
-2.811177,-2.124454,5.185776,-1.076269
0.8780754,-2.467136,4.177166,0.4337755
-2.414523,-3.140692,3.375475,-0.5296918
-2.334285,-2.7943,3.218778,-0.1121085
-0.2594891,-2.605699,4.143576,-0.5921154
-1.249582,-3.632169,4.505862,-1.727162
-1.159414,-3.174542,4.564685,0.1789627
-4.933353,-2.305539,1.774623,0.8203439
-0.1522615,-3.162715,5.183531,-0.3165565
-2.451432,-2.561563,3.205595,-0.2011223
-0.1445362,-3.479964,5.736935,-1.159869
-3.983704,-3.252986,1.6911,0.9718028
-3.952452,0.4800578,0.7015539,1.910684
-4.434946,2.346176,1.816177,3.158911
0.4039719,-0.2951474,4.438803,0.7992291
-4.944178,-0.7941553,1.57511,1.39208
-6.702898,-0.7479865,1.818278,2.665928
-2.946772,-0.6633747,3.279007,0.02908308
-3.766325,0.6079277,3.309684,1.776116
-4.786867,0.3839515,-0.3928859,1.037017
-4.578766,0.6268391,-0.3922782,2.955682
-6.84179,-1.022194,-0.4195895,4.316912
-7.725386,0.8425405,1.588382,3.519166
-8.343918,-5.66703,-5.499426,3.478863
-9.626898,-4.683195,-4.638482,4.149914
-11.31429,-6.322892,-6.407126,2.474547
-9.512763,-3.742501,-3.92813,3.323677
-10.0341,-4.676659,-5.908885,2.164395
-10.35222,-6.755397,-7.322072,1.517047
-8.402472,-6.464195,-6.930873,2.43503
-8.849004,-4.603684,-4.059239,1.750074
-9.862275,-5.385387,-5.902786,2.927192
-8.230452,-4.303261,-5.105828,1.616433
-6.644056,-3.654603,-3.977221,2.433925
-8.758954,-5.931535,-7.551204,0.9317408
